Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Public Method,"org.apache.hadoop.hive.accumulo.serde.TestAccumuloSerDe.testCompositeKeyDeserialization",,,,,,,,,,,,,,,,,,,,,,,,7,39,5,34,11,30,0,17,28,30,11,26,2,,,1,,,0.00,2,,,,
Public Method,"org.apache.hadoop.hive.accumulo.serde.TestAccumuloSerDe.testMapSerialization",,,,,,,,,,,,,,,,,,,,,,,,6,64,14,49,17,45,1,28,42,45,16,40,2,,,1,,,0.02,2,,,,
Public Method,"org.apache.hadoop.hive.accumulo.serde.TestAccumuloSerDe.testNoVisibilitySetsEmptyVisibility",,,,,,,,,,,,,,,,,,,,,,,,3,13,3,10,5,7,0,6,7,8,4,7,1,,,0,,,0.00,1,,,,
Public Method,"org.apache.hadoop.hive.accumulo.serde.TestAccumuloSerDe.testStructOfMapSerialization",,,,,,,,,,,,,,,,,,,,,,,,6,111,23,81,38,76,7,48,56,61,31,57,3,,,1,,,0.09,3,,,,
Public Method,"org.apache.hadoop.hive.accumulo.serde.TestAccumuloSerDe.withRowID",,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,4,6,0,5,6,7,3,6,1,,,0,,,0.00,1,,,,
Package,"org.apache.hadoop.hive.llap",0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,,0,,,0.00,0,,,,
Package,"org.apache.hadoop.hive.llap.cache",6,0,6,0,2,,,,,1,0,1,,1,,10,1,10,,0,0,0,10,,118,14,85,38,36,19,,41,59,29,32,,4,,2,,,0.22,18,,,,
Public Final Class,"org.apache.hadoop.hive.llap.cache.SimpleAllocator",6,0,6,0,2,3,12,6,0,,0,1,,,,10,1,10,22,0,0,0,10,,105,10,76,29,36,19,,32,50,20,32,,4,1,2,75,75,0.25,18,,,,
Public Constructor,"org.apache.hadoop.hive.llap.cache.SimpleAllocator.SimpleAllocator",,,,,,,,,,,,,,,,,,,,,,,,5,6,0,6,1,3,0,5,2,4,1,3,3,,,1,,,0.00,3,,,,
Public Method,"org.apache.hadoop.hive.llap.cache.SimpleAllocator.allocateMultiple",,,,,,,,,,,,,,,,,,,,,,,,4,13,0,13,4,8,0,5,7,10,4,7,4,,,2,,,0.00,4,,,,
Public Method,"org.apache.hadoop.hive.llap.cache.SimpleAllocator.createUnallocated",,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,2,1,1,1,,,0,,,0.00,1,,,,
Public Method,"org.apache.hadoop.hive.llap.cache.SimpleAllocator.deallocate",,,,,,,,,,,,,,,,,,,,,,,,5,15,0,15,5,11,0,5,9,13,4,9,4,,,1,,,0.00,4,,,,
Public Method,"org.apache.hadoop.hive.llap.cache.SimpleAllocator.getArenaSize",,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,2,1,1,1,,,0,,,0.00,1,,,,
Public Method,"org.apache.hadoop.hive.llap.cache.SimpleAllocator.getIsDirect",,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,2,1,1,1,,,0,,,0.00,1,,,,
Public Method,"org.apache.hadoop.hive.llap.cache.SimpleAllocator.getMaxAllocation",,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,2,1,1,1,,,0,,,0.00,1,,,,
Public Method,"org.apache.hadoop.hive.llap.cache.SimpleAllocator.getMaxCacheSize",,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,2,1,1,1,,,0,,,0.00,1,,,,
Public Method,"org.apache.hadoop.hive.llap.cache.SimpleAllocator.getMinAllocation",,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,2,1,1,1,,,0,,,0.00,1,,,,
Public Method,"org.apache.hadoop.hive.llap.cache.SimpleAllocator.isDirectAlloc",,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,2,1,1,1,,,0,,,0.00,1,,,,
Package,"org.apache.hadoop.hive.ql",0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,,0,,,0.00,0,,,,
Package,"org.apache.hadoop.hive.ql.exec",5,0,4,1,1,,,,,6,2,14,,2,,97,38,99,,1,1,9,88,,754,121,515,204,209,119,,228,365,195,182,,5,,3,,,0.23,129,,,,
Unknown Annotation,"org.apache.hadoop.hive.ql.exec.Description",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,
