AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,Priority,CommitCount,FixCommitCount,AddedLines,DeletedLines,CommitCountBeforeRelease,DevelopersInVersion,DevelopersAllVersions,AvgTimeBetweenCommits,AvgTimeBetweenCommitsAllVersions,AvgExpertise,MinExpertise
27,2,22,3,4,11,5,5,33,33,28,4,33,2,7,1,23,919,101,691,197,457,130,358,507,210,357,17,6,0.19,139,0,0,0.0,0.0,Critical,23,3,183,98,111,34,13,752.8506616161616,1047.8564015151514,241.7941176470588,13
19,2,16,1,4,2,0,0,6,7,7,12,7,5,0,0,2,182,24,121,38,68,37,68,92,38,59,11,4,0.31,24,0,0,0.0,0.0,Critical,5,0,24,15,8,8,5,6097.341349206349,3068.9040972222224,329.25,23
13,1,10,2,3,3,9,16,138,138,129,27,138,86,17,3,32,2443,337,1762,397,1162,374,729,1091,399,802,15,5,0.21,369,0,0,0.0,0.0,Critical,70,1,810,329,97,39,29,466.6678616898148,377.1840539452496,160.2051282051282,1
4,0,4,0,1,4,2,13,103,104,102,45,104,3,0,0,101,708,129,523,222,242,59,238,370,211,181,6,3,0.11,129,0,0,0.0,0.0,Critical,26,0,216,32,40,24,17,1094.394601139601,940.0283666666668,181.16666666666663,1
13,1,10,3,1,8,4,4,75,72,72,6,76,4,10,0,62,1148,129,770,410,493,249,435,521,314,299,5,3,0.32,84,0,0,0.0,0.0,Critical,26,0,594,89,41,23,16,943.9213263888888,1031.3018777777777,205.6086956521739,13
23,3,18,3,5,1,1,2,2,2,1,0,2,0,0,0,2,79,9,40,11,26,30,17,27,11,18,8,3,0.75,9,0,0,0.0,0.0,Critical,1,0,79,0,1,1,1,0.0,0.0,143.0,143
7,0,6,1,2,12,70,38,157,156,87,1040,157,20,21,0,116,5781,392,4698,3746,905,704,585,876,351,598,18,4,0.15,293,0,0,0.0,0.0,Critical,649,20,3075,398,1259,107,81,67.55421723193781,49.49007415980796,105.58878504672896,1
8,1,7,0,1,2,0,0,20,20,15,10,15,0,5,1,9,246,30,186,63,114,30,80,108,56,62,3,2,0.16,28,0,0,0.0,0.0,Critical,7,0,246,0,7,4,4,1123.4887037037038,1123.4887037037038,193.0,112
41,5,28,8,6,1,0,1,5,5,5,2,5,0,0,0,5,252,36,154,39,102,62,91,123,44,79,27,7,0.4,31,0,0,0.0,0.0,Critical,11,0,180,59,12,4,3,3361.9448484848485,2007.0370833333327,169.0,27
6,0,5,1,2,2,6,1,13,11,7,7,13,0,4,0,9,134,16,93,41,42,25,53,73,37,42,6,1,0.27,24,0,0,0.0,0.0,Major,7,0,134,0,7,7,7,3135.500185185185,3135.500185185185,267.42857142857144,7
